Nume	Prenume	Instanta
BULIGAN	MIHAELA LILIANA	TribunalulHUNEDOARA
BUZDUGEANU	CRISTINA	TribunalulHUNEDOARA
CĂLĂRAŞU	CRISTINA VIOLETA	TribunalulHUNEDOARA
CONTA	MIHAELA –AURELIA	TribunalulHUNEDOARA
COREGA	ADRIAN DUMITRU	TribunalulHUNEDOARA
COTEA	MARIA	TribunalulHUNEDOARA
DRAGAN	IOAN	TribunalulHUNEDOARA
DRAIA	VIOLINA FLOAREA	TribunalulHUNEDOARA
DUCA	CORINA MARIANA	TribunalulHUNEDOARA
FILIMON	CORNELIA	TribunalulHUNEDOARA
GORON	MARIA	TribunalulHUNEDOARA
GROZAVESCU	ANUTA	TribunalulHUNEDOARA
IACOB	MARINELA	TribunalulHUNEDOARA
IFTIMUS	ADINA-CAMELIA	TribunalulHUNEDOARA
IOJA	IOAN EUGEN	TribunalulHUNEDOARA
MUGESCU	VIORICA ADRIANA	TribunalulHUNEDOARA
ROGOVEANU	ION	TribunalulHUNEDOARA
RONCIOIU	CRISTINA ROBERTA	TribunalulHUNEDOARA
SABAU	DORINA	TribunalulHUNEDOARA
SAVA	IOAN ADRIAN	TribunalulHUNEDOARA
STANCIU	ANCA LUCIA	TribunalulHUNEDOARA
TĂNĂSESCU	IRINA	TribunalulHUNEDOARA
TIMIŞAN	CARMEN MIHAELA	TribunalulHUNEDOARA
VOROVENCI	ANCA- ELENA	TribunalulHUNEDOARA
BOGDAN	ANA ELENA	JudecatoriaDEVA
CONTA	FLAVIUS DACIAN	JudecatoriaDEVA
CREŢU	ANDREA	JudecatoriaDEVA
FODOR	PETER	JudecatoriaDEVA
HOLHOŞ	MARIA ANA	JudecatoriaDEVA
MAROTINEANU	REMUS	JudecatoriaDEVA
MIHAIL	CRISTINA MARIA	JudecatoriaDEVA
NEGREA-DRUCAN	PETRONELA	JudecatoriaDEVA
PÎŢU	ADRIAN CĂTĂLIN	JudecatoriaDEVA
POPESCU	DANIELA	JudecatoriaDEVA
PUŞCAŞU	VOICU IONEL	JudecatoriaDEVA
ŞORTAN	DELIA MIHAELA	JudecatoriaDEVA
TIMOFTE	MARIA – NICOLETA	JudecatoriaDEVA
TRUŞCAN	MĂDĂLINA	JudecatoriaDEVA
ŢIFREA	COSMIN	JudecatoriaDEVA
URSU	GABRIELA MARIA	JudecatoriaDEVA
ZEREŞ	ALEXANDRU FLORIN	JudecatoriaDEVA
CORDUNEANU	NICULINA	JudecatoriaHUNEDOARA
COSTANTEA	RAVECA LOREDANA	JudecatoriaHUNEDOARA
COZI	ADINA	JudecatoriaHUNEDOARA
FLORINCAS	GHEORGHITA	JudecatoriaHUNEDOARA
HERCIU	CRISTINA DANIELA	JudecatoriaHUNEDOARA
NEMEŞ	IOAN	JudecatoriaHUNEDOARA
ORDOG	ERIKA	JudecatoriaHUNEDOARA
TRANDAFIR	GABRIELA	JudecatoriaHUNEDOARA
ANASTASIU	ILEANA	JudecatoriaPETROSANI
BALAURE	IONELA SIMONA	JudecatoriaPETROSANI
BÎSCĂ	CAMELIA ALINA	JudecatoriaPETROSANI
CURUIA	CRISTINA IULIANA	JudecatoriaPETROSANI
DAVID	GIANINA VIORICA	JudecatoriaPETROSANI
DUŢU	NICOLETA LAURA	JudecatoriaPETROSANI
GOLGOTIU	VOINA-MARIA	JudecatoriaPETROSANI
MIHAILESCU	CERASELA VIOLETA	JudecatoriaPETROSANI
MILITARU	LAURENŢIU	JudecatoriaPETROSANI
MILITARU	MARIANA-OTILIA	JudecatoriaPETROSANI
NĂNESCU	ROZALIA MANUELA	JudecatoriaPETROSANI
PETROI	IONELA ROXANA	JudecatoriaPETROSANI
PONYICZKY	GABRIELA	JudecatoriaPETROSANI
TOPORAN	CARMEN RIBANA	JudecatoriaPETROSANI
PAUN	CORINA DANIELA	JudecatoriaBRAD
ROGOVEANU	MONICA	JudecatoriaBRAD
STOICA	MARIAN BOGDAN	JudecatoriaBRAD
MIHAILA	CARMEN-NICOLETA	JudecatoriaHATEG
SABAU	OLGA-MELINDA	JudecatoriaHATEG
ZGREABĂN	ELVIRA	JudecatoriaHATEG
